,Dino,Count,Count%
8,Compsorap,19,95.0
20,Refrenant,18,90.0
16,Imperatos,18,90.0
23,Trexg3,14,70.0
17,Indonemys,14,70.0
1,Albertoce,11,55.0
24,Tyrannome,10,50.0
19,Pteranore,10,50.0
0,Alankyloc,8,40.0
4,Ankyloslux,8,40.0
6,Ardontogn,6,30.0
18,Lystrosav,5,25.0
9,Dilorache,4,20.0
15,Hydraboa,3,15.0
10,Dsungasco,2,10.0
11,Erlikomin,1,5.0
7,Ceramagnu,1,5.0
13,HaastMax,1,5.0
14,Hadrox,1,5.0
5,Arctovasi,1,5.0
3,Ankylodac,1,5.0
21,Skoonasau,1,5.0
22,Thylaconyx,1,5.0
2,Allodrigu,1,5.0
12,Gorgusarc,1,5.0
