Dino,v 2022-05-07,v 2022-05-29,v 2022-06-08,v 2022-07-21,v 2022-08-12,v 2022-08-31,v 2022-09-21,v 2022-09-28,v 2022-10-15,v 2022-10-29
Refrenant,95.0,95,95,95,85,90,85.0,85,95,90
Ankyloslux,90.0,90,100,90,80,80,85.0,70,75,40.0
Parasauth,90.0,95,95,40.0,20.0,0,5.0,5.0,0,0
Hydraboa,85.0,100,100,50.0,25.0,10,10.0,10,10,15.0
Indotauru,70.0,25,50,5.0,10.0,10,0,0,0,0
Rexgs3,65.0,20,25,0,0,0,0,0,0,0
Skoonasau,55.0,10.0,20,0,5.0,0,0,5.0,5,5.0
Arctovasi,55.0,70,60,15.0,20.0,15,10.0,5.0,0,5.0
Mortemrex,45.0,5.0,0,5.0,5.0,5,5.0,5,0,0
Andrewtop,35.0,45,45,0,0,5.0,0,0,0,0
Albertoce,30.0,70,80,90,85,80,95,80,90,55
Imperatos,15.0,45,45,80,75,75,70.0,85,90,90
Tarbognat,5.0,35,50,45.0,50,20,0,0,0,0
Ardontogn,,10.0,5,10.0,20.0,40,35.0,35,40,30.0
Allodrigu,,5.0,5,20.0,30.0,35,20.0,20,15,5.0
Trexg3,,5.0,5,65.0,65,75,75.0,70,65,70
Dilorache,,,,70.0,95,95,35.0,20,35,20.0
Giganyx,,,,60.0,65,40,0,0,0,0
Compsorap,,,,,40.0,85,95,90,95,95
Pteranore,,,,,5.0,5,20.0,20,20,50.0
Indonemys,,,,,,,95.0,85,90,70
Lystrosav,,,,,,,25.0,20,25,25.0
Tyrannome,,,,,,,,,,50.0
Alankyloc,,,,,,,,,,40.0
